Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G??
265,Aron Baynes,C,29,DET,81,1,15.2,2.4,4.7,0,0,2.4,4.7,1.6,2,1.7,3,4.7,0.6,0.3,0.6,0.8,1.9,6.3
266,Shaun Livingston,PG,30,GSW,78,3,19.5,2.6,4.9,0,0.2,2.6,4.7,1,1.2,0.5,1.6,2.2,3,0.7,0.3,1,1.8,6.3
267,Timofey Mozgov,C,29,CLE,76,48,17.4,2.7,4.7,0,0.1,2.7,4.6,0.9,1.3,1.4,3,4.4,0.4,0.3,0.8,0.9,2.1,6.3
268,P.J. Hairston,SF,23,TOT,66,52,19.9,2.2,6.2,1.1,3.7,1.1,2.5,0.8,1,0.4,2.3,2.6,0.6,0.5,0.2,0.6,2.1,6.2
269,Donatas Motiejunas,PF,25,HOU,37,22,14.8,2.4,5.5,0.4,1.5,2,4,0.9,1.4,1,1.9,2.9,1.1,0.5,0.1,1.2,1.9,6.2
270,Mike Scott,PF,27,ATL,75,0,15.3,2.3,5,0.8,2.1,1.5,2.9,0.7,0.8,0.7,2,2.7,1,0.3,0.2,0.6,1.4,6.2
271,Dante Cunningham,SF,28,NOP,80,46,24.6,2.3,5.2,0.7,2.2,1.6,3,0.7,1,0.7,2.2,3,1,0.5,0.4,0.5,2.2,6.1
272,Channing Frye,PF-C,32,TOT,70,32,17.1,2.2,5,1.3,3.4,0.9,1.6,0.4,0.5,0.5,2.8,3.3,1,0.4,0.4,0.6,1.8,6.1
273,Mario Hezonja,SF,20,ORL,79,9,17.9,2.3,5.3,0.8,2.4,1.4,2.9,0.6,0.7,0.4,1.9,2.2,1.4,0.5,0.2,1.2,1.6,6.1
274,Trey Lyles,PF,20,UTA,80,33,17.3,2.4,5.5,0.6,1.6,1.8,3.9,0.7,1,0.7,3,3.7,0.7,0.3,0.2,0.8,1.4,6.1
275,T.J. McConnell,PG,23,PHI,81,17,19.8,2.7,5.7,0.4,1.1,2.3,4.6,0.3,0.5,0.5,2.6,3.1,4.5,1.2,0.1,1.7,1.4,6.1
276,Paul Pierce,SF,38,LAC,68,38,18.1,2.1,5.8,1.1,3.6,1,2.3,0.8,1,0.2,2.6,2.7,1,0.5,0.3,0.9,1.9,6.1
277,Tyler Zeller,C,26,BOS,60,3,11.8,2.3,4.8,0,0,2.3,4.8,1.5,1.8,1,1.9,3,0.5,0.2,0.4,0.8,1.6,6.1
278,Alexis Ajinca,C,27,NOP,59,17,14.6,2.5,5.3,0,0,2.5,5.3,0.9,1.1,1.3,3.3,4.6,0.5,0.3,0.6,0.9,2.3,6
279,Duje Dukan,SF,24,SAC,1,0,24,2,10,2,5,0,5,0,0,2,2,4,1,1,0,0,2,6
280,Spencer Hawes,PF,27,CHO,57,6,18.2,2.2,5.4,0.7,1.8,1.5,3.6,0.9,1.1,0.9,3.4,4.3,1.9,0.4,0.5,1,1.9,6
281,Jonathon Simmons,SG,26,SAS,55,2,14.8,2.2,4.4,0.3,0.9,1.9,3.5,1.3,1.7,0.3,1.5,1.7,1.1,0.4,0.1,1,1.9,6
282,Josh Smith,PF,30,TOT,55,7,16,2.3,6.3,0.7,2.6,1.6,3.7,0.7,1.2,0.9,2.6,3.5,1.6,0.6,0.9,1.4,2.1,6
283,Trevor Booker,PF,28,UTA,79,2,20.7,2.4,4.9,0.2,0.5,2.3,4.4,0.9,1.3,2.1,3.6,5.7,1.1,0.7,0.5,1,2.1,5.9
284,Markel Brown,SG,24,BRK,62,6,15.8,2,5.2,0.6,2,1.4,3.2,1.1,1.5,0.4,1.6,2,1.5,0.6,0.2,0.9,1.5,5.9
285,Randy Foye,SG,32,TOT,81,8,20.3,2.1,6,0.9,3.1,1.2,2.9,0.8,0.9,0.3,1.6,1.9,2,0.5,0.4,1.1,1.6,5.9
286,Roy Hibbert,C,29,LAL,81,81,23.2,2.2,5.1,0,0,2.2,5,1.4,1.8,1.6,3.3,4.9,1.2,0.4,1.4,0.9,3.1,5.9
287,J.J. Hickson,C,27,TOT,35,9,12.5,2.3,4.4,0,0,2.3,4.4,1.3,2.9,1.1,2.7,3.8,0.7,0.4,0.4,0.7,1.3,5.9
288,Raul Neto,PG,23,UTA,81,53,18.5,2.2,5.2,0.8,2,1.4,3.2,0.6,0.9,0.2,1.3,1.5,2.1,0.8,0,1.3,1.5,5.9
289,Jason Terry,SG,38,HOU,72,7,17.5,2.1,5.2,1.3,3.6,0.8,1.6,0.4,0.5,0.2,0.9,1.1,1.4,0.7,0.1,0.7,1.3,5.9
290,Rondae Hollis-Jefferson,SF,21,BRK,29,17,21.2,2.2,4.8,0.1,0.5,2,4.3,1.3,1.8,1.3,4,5.3,1.5,1.3,0.6,0.9,2.1,5.8
291,Dwight Powell,PF,24,DAL,69,2,14.4,2.1,4.3,0,0.2,2.1,4.1,1.5,2.1,1.2,2.7,4,0.6,0.5,0.3,0.6,1.7,5.8
